,Region Code (Administrative),Region Name (administrative),UTLA Code,UTLA Name,LTLA Code,LTLA Name,Under 45,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+
,E12000004,East Midlands,E10000021,Northamptonshire,E07000156,Wellingborough," 6,151 "," 3,662 "," 5,309 "," 5,099 "," 4,356 "," 4,057 "," 4,262 "," 3,077 "," 3,670 "
,E12000004,East Midlands,E10000019,Lincolnshire,E07000142,West Lindsey," 8,807 "," 4,118 "," 6,578 "," 7,146 "," 6,598 "," 6,125 "," 6,545 "," 4,960 "," 5,790 "
,E12000006,East of England,E10000029,Suffolk,E07000200,Babergh," 7,307 "," 3,070 "," 6,458 "," 6,650 "," 5,985 "," 5,734 "," 6,613 "," 5,044 "," 6,447 "
,E12000006,East of England,E10000012,Essex,E07000066,Basildon," 19,889 "," 8,543 "," 11,886 "," 11,514 "," 9,922 "," 8,009 "," 8,548 "," 5,999 "," 8,311 "
,E12000006,East of England,E06000055,Bedford,E06000055,Bedford," 15,460 "," 6,336 "," 11,387 "," 10,939 "," 9,266 "," 7,894 "," 8,083 "," 5,676 "," 8,142 "
,E12000006,East of England,E10000012,Essex,E07000067,Braintree," 13,625 "," 6,729 "," 10,795 "," 10,199 "," 8,755 "," 7,941 "," 8,581 "," 6,138 "," 7,648 "
,E12000006,East of England,E10000020,Norfolk,E07000143,Breckland," 10,655 "," 4,745 "," 9,131 "," 9,831 "," 8,785 "," 8,411 "," 9,435 "," 7,071 "," 9,255 "
,E12000006,East of England,E10000012,Essex,E07000068,Brentwood," 5,818 "," 3,037 "," 5,142 "," 5,342 "," 4,327 "," 3,618 "," 3,859 "," 2,893 "," 4,696 "
,E12000006,East of England,E10000020,Norfolk,E07000144,Broadland," 11,220 "," 4,542 "," 9,327 "," 9,366 "," 8,369 "," 7,918 "," 9,049 "," 6,787 "," 9,597 "
,E12000006,East of England,E10000015,Hertfordshire,E07000095,Broxbourne," 8,058 "," 3,587 "," 6,364 "," 6,131 "," 5,114 "," 4,125 "," 4,371 "," 3,328 "," 4,925 "
,E12000006,East of England,E10000003,Cambridgeshire,E07000008,Cambridge," 14,926 "," 3,663 "," 6,527 "," 6,064 "," 4,912 "," 4,312 "," 3,945 "," 3,003 "," 4,548 "
,E12000006,East of England,E10000012,Essex,E07000069,Castle Point," 8,122 "," 4,039 "," 5,883 "," 6,032 "," 5,479 "," 5,075 "," 6,263 "," 4,765 "," 5,905 "
,E12000006,East of England,E06000056,Central Bedfordshire,E06000056,Central Bedfordshire," 25,816 "," 12,881 "," 19,238 "," 19,663 "," 16,423 "," 13,820 "," 14,272 "," 10,376 "," 12,935 "
,E12000006,East of England,E10000012,Essex,E07000070,Chelmsford," 15,873 "," 7,728 "," 11,918 "," 11,397 "," 9,744 "," 8,467 "," 9,365 "," 6,877 "," 9,520 "
,E12000006,East of England,E10000012,Essex,E07000071,Colchester," 19,579 "," 7,452 "," 11,901 "," 11,287 "," 9,414 "," 8,279 "," 9,399 "," 6,799 "," 8,832 "
,E12000006,East of England,E10000015,Hertfordshire,E07000096,Dacorum," 13,197 "," 5,494 "," 9,988 "," 10,056 "," 8,544 "," 7,025 "," 6,821 "," 4,921 "," 7,412 "
,E12000006,East of England,E10000003,Cambridgeshire,E07000009,East Cambridgeshire," 7,553 "," 4,246 "," 6,146 "," 5,941 "," 5,021 "," 4,600 "," 4,902 "," 3,556 "," 4,868 "
,E12000006,East of England,E10000015,Hertfordshire,E07000242,East Hertfordshire," 12,203 "," 6,675 "," 10,751 "," 10,507 "," 8,561 "," 6,955 "," 7,336 "," 5,125 "," 7,416 "
,E12000006,East of England,E10000029,Suffolk,E07000244,East Suffolk," 20,544 "," 8,715 "," 16,498 "," 17,763 "," 17,073 "," 16,029 "," 18,291 "," 13,820 "," 18,691 "
,E12000006,East of England,E10000012,Essex,E07000072,Epping Forest," 10,412 "," 4,779 "," 8,821 "," 8,999 "," 7,540 "," 6,385 "," 6,755 "," 5,035 "," 7,145 "
,E12000006,East of England,E10000003,Cambridgeshire,E07000010,Fenland," 8,090 "," 3,269 "," 6,681 "," 7,003 "," 6,249 "," 5,935 "," 6,155 "," 4,633 "," 6,074 "
,E12000006,East of England,E10000020,Norfolk,E07000145,Great Yarmouth," 9,862 "," 3,842 "," 6,375 "," 6,764 "," 6,286 "," 5,911 "," 6,439 "," 4,870 "," 6,009 "
,E12000006,East of England,E10000012,Essex,E07000073,Harlow," 9,619 "," 3,293 "," 5,299 "," 5,338 "," 4,542 "," 3,749 "," 3,278 "," 2,352 "," 3,609 "
,E12000006,East of England,E10000015,Hertfordshire,E07000098,Hertsmere," 13,051 "," 5,632 "," 6,755 "," 6,890 "," 5,655 "," 4,613 "," 4,787 "," 3,616 "," 5,539 "
,E12000006,East of England,E10000003,Cambridgeshire,E07000011,Huntingdonshire," 16,859 "," 7,137 "," 12,462 "," 12,451 "," 10,719 "," 9,369 "," 10,065 "," 7,431 "," 9,069 "
,E12000006,East of England,E10000029,Suffolk,E07000202,Ipswich," 15,677 "," 4,959 "," 8,111 "," 7,831 "," 6,850 "," 5,939 "," 5,783 "," 4,103 "," 6,270 "
,E12000006,East of England,E10000020,Norfolk,E07000146,King's Lynn and West Norfolk," 12,502 "," 5,183 "," 9,561 "," 10,550 "," 9,784 "," 9,319 "," 10,392 "," 8,054 "," 10,704 "
,E12000006,East of England,E06000032,Luton,E06000032,Luton," 20,381 "," 6,870 "," 10,863 "," 10,447 "," 8,608 "," 6,938 "," 6,006 "," 4,570 "," 6,928 "
,E12000006,East of England,E10000012,Essex,E07000074,Maldon," 4,638 "," 2,827 "," 4,895 "," 4,990 "," 4,614 "," 4,090 "," 4,568 "," 3,380 "," 4,153 "
,E12000006,East of England,E10000029,Suffolk,E07000203,Mid Suffolk," 8,921 "," 3,524 "," 7,137 "," 7,707 "," 7,039 "," 6,528 "," 7,101 "," 5,162 "," 6,598 "
,E12000006,East of England,E10000015,Hertfordshire,E07000099,North Hertfordshire," 10,984 "," 5,655 "," 8,852 "," 8,916 "," 7,320 "," 6,287 "," 6,577 "," 4,911 "," 7,426 "
,E12000006,East of England,E10000020,Norfolk,E07000147,North Norfolk," 6,936 "," 2,839 "," 6,483 "," 7,535 "," 8,030 "," 7,984 "," 9,220 "," 6,888 "," 9,459 "
,E12000006,East of England,E10000020,Norfolk,E07000148,Norwich," 17,436 "," 4,766 "," 7,460 "," 7,087 "," 6,018 "," 5,589 "," 5,491 "," 3,989 "," 5,785 "
,E12000006,East of England,E06000031,Peterborough,E06000031,Peterborough," 17,340 "," 7,606 "," 11,606 "," 10,951 "," 9,447 "," 8,023 "," 7,735 "," 5,491 "," 7,913 "
,E12000006,East of England,E10000012,Essex,E07000075,Rochford," 7,865 "," 4,161 "," 6,225 "," 6,106 "," 5,301 "," 4,614 "," 5,409 "," 4,057 "," 5,465 "
,E12000006,East of England,E10000003,Cambridgeshire,E07000012,South Cambridgeshire," 13,692 "," 6,097 "," 11,065 "," 10,702 "," 8,933 "," 7,857 "," 8,357 "," 6,329 "," 8,680 "
,E12000006,East of England,E10000020,Norfolk,E07000149,South Norfolk," 12,714 "," 4,792 "," 9,541 "," 9,924 "," 8,890 "," 8,183 "," 9,268 "," 7,013 "," 9,311 "
,E12000006,East of England,E06000033,Southend-on-Sea,E06000033,Southend-on-Sea," 18,847 "," 8,896 "," 11,129 "," 11,242 "," 9,579 "," 8,328 "," 8,852 "," 6,607 "," 9,318 "
,E12000006,East of England,E10000015,Hertfordshire,E07000240,St Albans," 10,783 "," 6,656 "," 10,587 "," 9,544 "," 7,608 "," 6,236 "," 6,382 "," 4,787 "," 7,445 "
,E12000006,East of England,E10000015,Hertfordshire,E07000243,Stevenage," 9,885 "," 3,515 "," 5,634 "," 5,772 "," 4,694 "," 3,555 "," 3,351 "," 2,451 "," 3,705 "
,E12000006,East of England,E10000012,Essex,E07000076,Tendring," 12,714 "," 4,815 "," 9,284 "," 10,304 "," 10,191 "," 9,927 "," 11,731 "," 9,027 "," 11,818 "
,E12000006,East of England,E10000015,Hertfordshire,E07000102,Three Rivers," 9,405 "," 4,063 "," 6,530 "," 6,440 "," 5,123 "," 4,222 "," 4,350 "," 3,202 "," 4,765 "
,E12000006,East of England,E06000034,Thurrock,E06000034,Thurrock," 16,687 "," 7,212 "," 10,064 "," 9,627 "," 7,706 "," 6,322 "," 6,578 "," 4,255 "," 5,679 "
,E12000006,East of England,E10000012,Essex,E07000077,Uttlesford," 7,101 "," 3,310 "," 6,582 "," 6,422 "," 5,494 "," 4,657 "," 4,871 "," 3,628 "," 4,845 "
,E12000006,East of England,E10000015,Hertfordshire,E07000103,Watford," 12,372 "," 4,753 "," 5,988 "," 5,300 "," 4,207 "," 3,350 "," 3,095 "," 2,340 "," 3,475 "
,E12000006,East of England,E10000015,Hertfordshire,E07000241,Welwyn Hatfield," 10,375 "," 4,194 "," 6,803 "," 6,922 "," 5,940 "," 4,678 "," 4,517 "," 3,426 "," 5,522 "
,E12000006,East of England,E10000029,Suffolk,E07000245,West Suffolk," 14,358 "," 5,016 "," 11,124 "," 11,129 "," 9,616 "," 8,760 "," 9,869 "," 7,545 "," 10,099 "
,E12000007,London,E09000002,Barking and Dagenham,E09000002,Barking and Dagenham," 19,038 "," 8,006 "," 10,832 "," 9,440 "," 7,364 "," 5,297 "," 4,320 "," 2,977 "," 4,605 "
,E12000007,London,E09000003,Barnet,E09000003,Barnet," 39,852 "," 18,316 "," 20,930 "," 19,652 "," 17,029 "," 14,067 "," 13,348 "," 9,779 "," 14,754 "
,E12000007,London,E09000004,Bexley,E09000004,Bexley," 20,648 "," 9,925 "," 14,976 "," 14,961 "," 12,603 "," 10,076 "," 10,076 "," 7,506 "," 11,495 "
,E12000007,London,E09000005,Brent,E09000005,Brent," 35,217 "," 14,255 "," 16,944 "," 15,838 "," 13,747 "," 10,750 "," 8,590 "," 6,248 "," 9,188 "
,E12000007,London,E09000006,Bromley,E09000006,Bromley," 27,242 "," 14,179 "," 21,169 "," 20,439 "," 17,042 "," 13,769 "," 14,829 "," 10,889 "," 16,572 "
,E12000007,London,E09000007,Camden,E09000007,Camden," 23,469 "," 8,463 "," 11,053 "," 9,815 "," 8,175 "," 6,515 "," 6,090 "," 4,539 "," 5,895 "
,E12000007,London,E09000001,City of London,E09000001,City of London, 700 , 363 , 481 , 455 , 374 , 332 , 306 , 203 , 244 
,E12000007,London,E09000008,Croydon,E09000008,Croydon," 32,676 "," 13,097 "," 20,808 "," 20,884 "," 17,303 "," 13,677 "," 12,694 "," 8,934 "," 13,042 "
,E12000007,London,E09000009,Ealing,E09000009,Ealing," 32,609 "," 14,515 "," 19,965 "," 18,267 "," 15,265 "," 12,264 "," 10,525 "," 7,356 "," 10,627 "
,E12000007,London,E09000010,Enfield,E09000010,Enfield," 39,646 "," 15,743 "," 18,103 "," 17,747 "," 14,805 "," 11,479 "," 10,198 "," 7,482 "," 11,539 "
,E12000007,London,E09000011,Greenwich,E09000011,Greenwich," 26,608 "," 12,579 "," 14,838 "," 13,454 "," 10,802 "," 8,394 "," 7,446 "," 5,219 "," 6,747 "
,E12000007,London,E09000012,Hackney,E09000012,Hackney," 24,544 "," 8,356 "," 11,613 "," 10,610 "," 8,303 "," 6,200 "," 4,790 "," 3,057 "," 4,031 "
,E12000007,London,E09000013,Hammersmith and Fulham,E09000013,Hammersmith and Fulham," 18,636 "," 7,327 "," 9,609 "," 8,438 "," 6,271 "," 4,959 "," 4,520 "," 3,166 "," 4,232 "
,E12000007,London,E09000014,Haringey,E09000014,Haringey," 21,304 "," 12,057 "," 14,170 "," 12,993 "," 10,018 "," 7,643 "," 6,388 "," 4,342 "," 5,954 "
,E12000007,London,E09000015,Harrow,E09000015,Harrow," 30,435 "," 9,776 "," 13,458 "," 13,356 "," 12,448 "," 10,645 "," 9,310 "," 7,000 "," 10,731 "
,E12000007,London,E09000016,Havering,E09000016,Havering," 23,177 "," 8,988 "," 15,094 "," 15,389 "," 13,712 "," 11,098 "," 11,637 "," 8,391 "," 12,795 "
,E12000007,London,E09000017,Hillingdon,E09000017,Hillingdon," 32,127 "," 11,992 "," 17,297 "," 16,574 "," 13,845 "," 10,997 "," 9,908 "," 7,132 "," 11,128 "
,E12000007,London,E09000018,Hounslow,E09000018,Hounslow," 27,036 "," 10,782 "," 15,695 "," 14,204 "," 11,998 "," 9,661 "," 8,307 "," 5,723 "," 7,751 "
,E12000007,London,E09000019,Islington,E09000019,Islington," 22,234 "," 7,551 "," 10,495 "," 9,850 "," 7,665 "," 5,763 "," 5,029 "," 3,374 "," 4,403 "
,E12000007,London,E09000020,Kensington and Chelsea,E09000020,Kensington and Chelsea," 12,141 "," 5,834 "," 7,966 "," 7,760 "," 6,119 "," 4,964 "," 4,730 "," 3,615 "," 4,718 "
,E12000007,London,E09000021,Kingston upon Thames,E09000021,Kingston upon Thames," 14,951 "," 6,300 "," 10,382 "," 9,294 "," 7,643 "," 6,382 "," 6,311 "," 4,381 "," 6,143 "
,E12000007,London,E09000022,Lambeth,E09000022,Lambeth," 33,811 "," 12,817 "," 15,923 "," 14,638 "," 11,088 "," 7,817 "," 6,140 "," 4,094 "," 5,932 "
,E12000007,London,E09000023,Lewisham,E09000023,Lewisham," 26,198 "," 10,553 "," 15,031 "," 14,195 "," 11,128 "," 7,753 "," 6,277 "," 4,520 "," 6,628 "
,E12000007,London,E09000024,Merton,E09000024,Merton," 19,700 "," 8,195 "," 12,131 "," 10,916 "," 9,153 "," 7,273 "," 6,544 "," 4,480 "," 6,857 "
,E12000007,London,E09000025,Newham,E09000025,Newham," 37,508 "," 12,066 "," 15,567 "," 13,239 "," 10,826 "," 7,954 "," 5,645 "," 3,565 "," 5,005 "
,E12000007,London,E09000026,Redbridge,E09000026,Redbridge," 29,948 "," 11,417 "," 15,412 "," 14,445 "," 12,625 "," 10,313 "," 9,010 "," 6,252 "," 9,637 "
,E12000007,London,E09000027,Richmond upon Thames,E09000027,Richmond upon Thames," 13,749 "," 9,014 "," 13,465 "," 12,283 "," 9,620 "," 7,963 "," 8,367 "," 5,940 "," 7,826 "
,E12000007,London,E09000028,Southwark,E09000028,Southwark," 30,468 "," 11,011 "," 16,079 "," 14,764 "," 11,395 "," 7,499 "," 5,988 "," 3,925 "," 5,525 "
,E12000007,London,E09000029,Sutton,E09000029,Sutton," 20,028 "," 8,283 "," 12,766 "," 12,320 "," 9,749 "," 8,065 "," 8,005 "," 5,677 "," 8,461 "
,E12000007,London,E09000030,Tower Hamlets,E09000030,Tower Hamlets," 35,306 "," 9,943 "," 11,501 "," 9,258 "," 7,498 "," 5,460 "," 3,980 "," 2,579 "," 3,947 "
,E12000007,London,E09000031,Waltham Forest,E09000031,Waltham Forest," 25,641 "," 9,896 "," 13,782 "," 12,526 "," 10,229 "," 7,705 "," 6,493 "," 4,635 "," 6,558 "
,E12000007,London,E09000032,Wandsworth,E09000032,Wandsworth," 36,121 "," 13,110 "," 15,634 "," 13,607 "," 10,707 "," 8,166 "," 7,725 "," 5,234 "," 7,442 "
,E12000007,London,E09000033,Westminster,E09000033,Westminster," 21,051 "," 8,459 "," 10,595 "," 9,879 "," 7,969 "," 6,106 "," 5,492 "," 4,226 "," 5,645 "
,E12000001,North East,E06000047,County Durham,E06000047,County Durham," 46,627 "," 18,029 "," 35,278 "," 37,394 "," 33,670 "," 30,021 "," 30,006 "," 21,377 "," 27,183 "
,E12000001,North East,E06000005,Darlington,E06000005,Darlington," 9,399 "," 3,621 "," 7,103 "," 7,298 "," 6,657 "," 5,751 "," 5,838 "," 4,107 "," 5,837 "
,E12000001,North East,E08000037,Gateshead,E08000037,Gateshead," 18,762 "," 6,513 "," 12,540 "," 13,321 "," 11,937 "," 10,248 "," 10,476 "," 7,256 "," 10,798 "
,E12000001,North East,E06000001,Hartlepool,E06000001,Hartlepool," 8,456 "," 2,907 "," 5,950 "," 6,634 "," 5,959 "," 5,059 "," 4,952 "," 3,179 "," 4,551 "
,E12000001,North East,E06000002,Middlesbrough,E06000002,Middlesbrough," 16,445 "," 5,399 "," 7,788 "," 8,617 "," 8,153 "," 6,866 "," 6,151 "," 4,158 "," 5,923 "
,E12000001,North East,E08000021,Newcastle upon Tyne,E08000021,Newcastle upon Tyne," 29,876 "," 8,310 "," 14,404 "," 15,587 "," 14,369 "," 11,921 "," 11,412 "," 7,612 "," 11,737 "
,E12000001,North East,E08000022,North Tyneside,E08000022,North Tyneside," 19,941 "," 8,608 "," 13,250 "," 14,127 "," 12,837 "," 11,695 "," 11,467 "," 7,692 "," 10,850 "
,E12000001,North East,E06000057,Northumberland,E06000057,Northumberland," 27,508 "," 11,799 "," 21,207 "," 24,122 "," 23,488 "," 21,786 "," 22,440 "," 15,563 "," 19,757 "
,E12000001,North East,E06000003,Redcar and Cleveland,E06000003,Redcar and Cleveland," 13,969 "," 5,108 "," 8,973 "," 10,016 "," 9,020 "," 8,039 "," 8,425 "," 6,202 "," 8,017 "
,E12000001,North East,E08000023,South Tyneside,E08000023,South Tyneside," 13,593 "," 5,413 "," 9,464 "," 10,419 "," 9,861 "," 8,436 "," 8,154 "," 5,450 "," 7,880 "
,E12000001,North East,E06000004,Stockton-on-Tees,E06000004,Stockton-on-Tees," 18,763 "," 6,739 "," 12,631 "," 13,046 "," 12,113 "," 10,375 "," 9,983 "," 6,718 "," 8,908 "
,E12000001,North East,E08000024,Sunderland,E08000024,Sunderland," 26,409 "," 9,068 "," 17,975 "," 18,905 "," 17,961 "," 15,537 "," 15,133 "," 10,084 "," 14,145 "
,E12000002,North West,E10000006,Cumbria,E07000026,Allerdale," 10,367 "," 3,861 "," 7,242 "," 7,281 "," 6,863 "," 6,190 "," 6,596 "," 4,498 "," 6,151 "
,E12000002,North West,E10000006,Cumbria,E07000027,Barrow-in-Furness," 6,073 "," 2,055 "," 4,642 "," 4,792 "," 4,184 "," 3,713 "," 3,968 "," 2,915 "," 3,595 "
,E12000002,North West,E06000008,Blackburn with Darwen,E06000008,Blackburn with Darwen," 14,640 "," 4,921 "," 8,685 "," 8,261 "," 7,375 "," 6,226 "," 5,867 "," 3,908 "," 5,197 "
,E12000002,North West,E06000009,Blackpool,E06000009,Blackpool," 16,881 "," 5,678 "," 9,418 "," 10,067 "," 8,722 "," 7,217 "," 7,529 "," 5,629 "," 7,549 "
,E12000002,North West,E08000001,Bolton,E08000001,Bolton," 25,696 "," 9,563 "," 17,504 "," 17,307 "," 14,835 "," 13,035 "," 13,608 "," 9,759 "," 12,124 "
,E12000002,North West,E10000017,Lancashire,E07000117,Burnley," 7,228 "," 2,684 "," 5,175 "," 5,533 "," 5,010 "," 4,326 "," 4,585 "," 3,148 "," 3,764 "
,E12000002,North West,E08000002,Bury,E08000002,Bury," 17,277 "," 7,433 "," 11,716 "," 12,098 "," 10,404 "," 8,938 "," 9,611 "," 6,806 "," 8,710 "
,E12000002,North West,E10000006,Cumbria,E07000028,Carlisle," 9,003 "," 3,810 "," 7,042 "," 7,633 "," 7,194 "," 6,194 "," 6,316 "," 4,360 "," 6,171 "
,E12000002,North West,E06000049,Cheshire East,E06000049,Cheshire East," 31,740 "," 14,725 "," 27,116 "," 28,197 "," 24,388 "," 21,529 "," 23,712 "," 17,724 "," 23,828 "
,E12000002,North West,E06000050,Cheshire West and Chester,E06000050,Cheshire West and Chester," 30,451 "," 12,847 "," 23,485 "," 24,739 "," 21,588 "," 18,953 "," 19,989 "," 14,661 "," 19,785 "
,E12000002,North West,E10000017,Lancashire,E07000118,Chorley," 11,582 "," 4,857 "," 8,112 "," 7,950 "," 6,925 "," 6,136 "," 6,724 "," 4,793 "," 5,633 "
,E12000002,North West,E10000006,Cumbria,E07000029,Copeland," 5,775 "," 2,248 "," 4,654 "," 5,301 "," 4,811 "," 4,166 "," 4,250 "," 2,970 "," 3,789 "
,E12000002,North West,E10000006,Cumbria,E07000030,Eden," 3,352 "," 1,824 "," 3,918 "," 4,417 "," 4,092 "," 3,699 "," 3,846 "," 2,732 "," 3,649 "
