,Region Code (Administrative),Region Name (administrative),LTLA Code,LTLA Name,Under 60,60-64,65-69,70-74,75-79,80+
,E12000006,East of England,E07000074,Maldon," 6,702 "," 3,003 "," 3,993 "," 4,518 "," 3,378 "," 4,145 "
,E12000006,East of England,E07000203,Mid Suffolk," 15,726 "," 6,241 "," 6,413 "," 7,057 "," 5,124 "," 6,591 "
,E12000006,East of England,E07000099,North Hertfordshire," 14,921 "," 4,932 "," 6,005 "," 6,519 "," 4,863 "," 7,406 "
,E12000006,East of England,E07000147,North Norfolk," 11,486 "," 5,308 "," 7,520 "," 9,129 "," 6,825 "," 9,479 "
,E12000006,East of England,E07000148,Norwich," 21,038 "," 3,974 "," 5,264 "," 5,424 "," 3,970 "," 5,840 "
,E12000006,East of England,E06000031,Peterborough," 22,666 "," 6,731 "," 7,372 "," 7,650 "," 5,463 "," 7,896 "
,E12000006,East of England,E07000075,Rochford," 10,194 "," 3,244 "," 4,389 "," 5,368 "," 4,044 "," 5,470 "
,E12000006,East of England,E07000012,South Cambridgeshire," 21,892 "," 7,344 "," 7,615 "," 8,288 "," 6,276 "," 8,601 "
,E12000006,East of England,E07000149,South Norfolk," 18,322 "," 5,930 "," 7,508 "," 9,181 "," 6,978 "," 9,324 "
,E12000006,East of England,E06000033,Southend-on-Sea," 21,485 "," 5,888 "," 7,820 "," 8,740 "," 6,523 "," 9,335 "
,E12000006,East of England,E07000240,St Albans," 13,161 "," 5,455 "," 6,096 "," 6,342 "," 4,772 "," 7,440 "
,E12000006,East of England,E07000243,Stevenage," 10,949 "," 3,367 "," 3,374 "," 3,307 "," 2,436 "," 3,731 "
,E12000006,East of England,E07000076,Tendring," 19,446 "," 7,919 "," 9,597 "," 11,554 "," 8,944 "," 11,813 "
,E12000006,East of England,E07000102,Three Rivers," 12,220 "," 3,979 "," 4,108 "," 4,306 "," 3,179 "," 4,762 "
,E12000006,East of England,E06000034,Thurrock," 16,242 "," 4,199 "," 6,033 "," 6,463 "," 4,203 "," 5,634 "
,E12000006,East of England,E07000077,Uttlesford," 8,658 "," 3,261 "," 4,223 "," 4,845 "," 3,612 "," 4,855 "
,E12000006,East of England,E07000103,Watford," 13,059 "," 3,083 "," 3,228 "," 3,050 "," 2,322 "," 3,448 "
,E12000006,East of England,E07000241,Welwyn Hatfield," 12,202 "," 4,115 "," 4,397 "," 4,458 "," 3,389 "," 5,539 "
,E12000006,East of England,E07000245,West Suffolk," 23,463 "," 7,423 "," 8,529 "," 9,777 "," 7,504 "," 10,075 "
,E12000007,London,E09000002,Barking and Dagenham," 25,611 "," 4,734 "," 4,799 "," 4,177 "," 2,891 "," 4,535 "
,E12000007,London,E09000003,Barnet," 58,935 "," 15,388 "," 13,482 "," 13,041 "," 9,604 "," 14,494 "
,E12000007,London,E09000004,Bexley," 30,337 "," 9,899 "," 9,766 "," 9,979 "," 7,435 "," 11,461 "
,E12000007,London,E09000005,Brent," 45,067 "," 11,598 "," 10,053 "," 8,244 "," 6,025 "," 8,943 "
,E12000007,London,E09000006,Bromley," 43,941 "," 13,502 "," 13,288 "," 14,670 "," 10,767 "," 16,499 "
,E12000007,London,E09000007,Camden," 27,522 "," 7,019 "," 6,140 "," 5,916 "," 4,444 "," 5,782 "
,E12000007,London,E09000001,City of London, 734 , 235 , 312 , 300 , 197 , 245 
,E12000007,London,E09000008,Croydon," 44,376 "," 12,148 "," 12,797 "," 12,354 "," 8,703 "," 12,739 "
,E12000007,London,E09000009,Ealing," 42,522 "," 12,939 "," 11,577 "," 10,221 "," 7,246 "," 10,492 "
,E12000007,London,E09000010,Enfield," 51,410 "," 13,456 "," 11,055 "," 9,976 "," 7,346 "," 11,415 "
,E12000007,London,E09000011,Greenwich," 37,179 "," 8,081 "," 7,952 "," 7,294 "," 5,126 "," 6,605 "
,E12000007,London,E09000012,Hackney," 27,329 "," 5,523 "," 5,691 "," 4,579 "," 2,956 "," 3,906 "
,E12000007,London,E09000013,Hammersmith and Fulham," 20,744 "," 4,780 "," 4,540 "," 4,363 "," 3,083 "," 4,186 "
,E12000007,London,E09000014,Haringey," 31,568 "," 7,729 "," 7,225 "," 6,231 "," 4,218 "," 5,768 "
,E12000007,London,E09000015,Harrow," 43,267 "," 11,134 "," 10,370 "," 9,119 "," 6,871 "," 10,616 "
,E12000007,London,E09000016,Havering," 29,494 "," 8,554 "," 10,138 "," 11,429 "," 8,310 "," 12,689 "
,E12000007,London,E09000017,Hillingdon," 45,567 "," 11,364 "," 10,647 "," 9,745 "," 7,056 "," 11,054 "
,E12000007,London,E09000018,Hounslow," 38,014 "," 9,803 "," 9,253 "," 8,147 "," 5,601 "," 7,668 "
,E12000007,London,E09000019,Islington," 21,853 "," 5,235 "," 5,333 "," 4,837 "," 3,268 "," 4,274 "
,E12000007,London,E09000020,Kensington and Chelsea," 14,314 "," 5,031 "," 4,637 "," 4,532 "," 3,500 "," 4,638 "
,E12000007,London,E09000021,Kingston upon Thames," 21,597 "," 6,035 "," 6,202 "," 6,227 "," 4,347 "," 6,129 "
,E12000007,London,E09000022,Lambeth," 41,348 "," 8,563 "," 7,230 "," 5,927 "," 3,943 "," 5,775 "
,E12000007,London,E09000023,Lewisham," 34,943 "," 8,481 "," 7,209 "," 6,099 "," 4,394 "," 6,474 "
,E12000007,London,E09000024,Merton," 28,791 "," 7,100 "," 6,982 "," 6,386 "," 4,347 "," 6,772 "
,E12000007,London,E09000025,Newham," 38,109 "," 6,831 "," 7,111 "," 5,389 "," 3,430 "," 4,823 "
,E12000007,London,E09000026,Redbridge," 38,846 "," 9,101 "," 9,746 "," 8,816 "," 6,159 "," 9,554 "
,E12000007,London,E09000027,Richmond upon Thames," 20,787 "," 7,323 "," 7,661 "," 8,204 "," 5,873 "," 7,801 "
,E12000007,London,E09000028,Southwark," 34,385 "," 7,389 "," 6,845 "," 5,764 "," 3,746 "," 5,338 "
,E12000007,London,E09000029,Sutton," 27,207 "," 7,131 "," 7,714 "," 7,868 "," 5,613 "," 8,402 "
,E12000007,London,E09000030,Tower Hamlets," 29,518 "," 5,212 "," 4,746 "," 3,784 "," 2,458 "," 3,836 "
,E12000007,London,E09000031,Waltham Forest," 32,576 "," 7,801 "," 7,158 "," 6,291 "," 4,463 "," 6,362 "
,E12000007,London,E09000032,Wandsworth," 40,660 "," 9,018 "," 7,804 "," 7,534 "," 5,117 "," 7,325 "
,E12000007,London,E09000033,Westminster," 23,767 "," 6,689 "," 5,670 "," 5,247 "," 4,059 "," 5,481 "
,E12000001,North East,E06000047,County Durham," 72,412 "," 20,028 "," 27,300 "," 29,782 "," 21,285 "," 27,335 "
,E12000001,North East,E06000005,Darlington," 10,191 "," 3,409 "," 5,315 "," 5,702 "," 4,059 "," 5,813 "
,E12000001,North East,E08000037,Gateshead," 24,507 "," 6,403 "," 9,077 "," 10,376 "," 7,195 "," 10,735 "
,E12000001,North East,E06000001,Hartlepool," 12,495 "," 3,365 "," 4,102 "," 4,856 "," 3,173 "," 4,561 "
,E12000001,North East,E06000002,Middlesbrough," 19,258 "," 4,588 "," 6,096 "," 6,043 "," 4,137 "," 5,904 "
,E12000001,North East,E08000021,Newcastle upon Tyne," 33,492 "," 7,466 "," 11,241 "," 11,216 "," 7,514 "," 11,563 "
,E12000001,North East,E08000022,North Tyneside," 23,806 "," 6,093 "," 10,979 "," 11,314 "," 7,643 "," 10,894 "
,E12000001,North East,E06000057,Northumberland," 34,831 "," 10,844 "," 19,088 "," 22,187 "," 15,489 "," 19,666 "
,E12000001,North East,E06000003,Redcar and Cleveland," 16,812 "," 4,349 "," 5,664 "," 8,331 "," 6,151 "," 8,027 "
,E12000001,North East,E08000023,South Tyneside," 20,598 "," 6,391 "," 8,170 "," 8,062 "," 5,396 "," 7,867 "
,E12000001,North East,E06000004,Stockton-on-Tees," 24,182 "," 6,633 "," 9,653 "," 9,883 "," 6,693 "," 8,946 "
,E12000001,North East,E08000024,Sunderland," 34,444 "," 10,200 "," 15,042 "," 14,991 "," 10,042 "," 14,134 "
,E12000002,North West,E07000026,Allerdale," 11,172 "," 3,268 "," 5,503 "," 6,558 "," 4,490 "," 6,170 "
,E12000002,North West,E07000027,Barrow-in-Furness," 8,558 "," 2,484 "," 3,635 "," 3,942 "," 2,907 "," 3,593 "
,E12000002,North West,E06000008,Blackburn with Darwen," 16,970 "," 5,688 "," 5,775 "," 5,752 "," 3,853 "," 5,150 "
,E12000002,North West,E06000009,Blackpool," 23,874 "," 7,248 "," 6,932 "," 7,416 "," 5,563 "," 7,492 "
,E12000002,North West,E08000001,Bolton," 41,309 "," 11,675 "," 12,510 "," 13,422 "," 9,677 "," 12,083 "
,E12000002,North West,E07000117,Burnley," 9,121 "," 3,159 "," 3,969 "," 4,455 "," 3,125 "," 3,772 "
,E12000002,North West,E08000002,Bury," 28,979 "," 8,899 "," 8,653 "," 9,512 "," 6,754 "," 8,704 "
,E12000002,North West,E07000028,Carlisle," 11,703 "," 3,228 "," 5,863 "," 6,231 "," 4,344 "," 6,180 "
,E12000002,North West,E06000049,Cheshire East," 51,388 "," 18,276 "," 20,637 "," 23,493 "," 17,589 "," 23,767 "
,E12000002,North West,E06000050,Cheshire West and Chester," 43,474 "," 14,541 "," 17,581 "," 19,787 "," 14,544 "," 19,669 "
,E12000002,North West,E07000118,Chorley," 14,949 "," 4,992 "," 5,827 "," 6,676 "," 4,773 "," 5,603 "
,E12000002,North West,E07000029,Copeland," 7,254 "," 2,539 "," 3,876 "," 4,200 "," 2,960 "," 3,754 "
,E12000002,North West,E07000030,Eden," 3,777 "," 1,411 "," 3,549 "," 3,821 "," 2,720 "," 3,677 "
,E12000002,North West,E07000119,Fylde," 9,783 "," 4,284 "," 5,091 "," 5,783 "," 4,547 "," 6,241 "
,E12000002,North West,E06000006,Halton," 16,852 "," 5,376 "," 6,577 "," 6,750 "," 4,128 "," 5,091 "
,E12000002,North West,E07000120,Hyndburn," 7,745 "," 3,275 "," 3,595 "," 3,980 "," 2,876 "," 3,486 "
,E12000002,North West,E08000011,Knowsley," 23,850 "," 7,231 "," 7,488 "," 6,549 "," 4,228 "," 6,327 "
,E12000002,North West,E07000121,Lancaster," 20,453 "," 6,606 "," 7,088 "," 7,706 "," 5,605 "," 7,690 "
,E12000002,North West,E08000012,Liverpool," 71,397 "," 18,916 "," 19,805 "," 18,753 "," 12,447 "," 17,616 "
,E12000002,North West,E08000003,Manchester," 72,880 "," 13,538 "," 14,220 "," 12,621 "," 8,461 "," 11,554 "
,E12000002,North West,E08000004,Oldham," 30,764 "," 7,741 "," 9,458 "," 10,052 "," 7,222 "," 9,021 "
,E12000002,North West,E07000122,Pendle," 6,951 "," 2,918 "," 3,939 "," 4,619 "," 3,112 "," 3,998 "
,E12000002,North West,E07000123,Preston," 18,173 "," 5,098 "," 5,489 "," 5,388 "," 3,852 "," 5,646 "
,E12000002,North West,E07000124,Ribble Valley," 5,766 "," 2,995 "," 3,584 "," 3,924 "," 2,971 "," 3,898 "
,E12000002,North West,E08000005,Rochdale," 31,284 "," 8,618 "," 9,587 "," 9,694 "," 6,573 "," 8,129 "
,E12000002,North West,E07000125,Rossendale," 7,970 "," 2,753 "," 3,274 "," 3,754 "," 2,514 "," 3,003 "
,E12000002,North West,E08000006,Salford," 42,835 "," 10,365 "," 8,586 "," 9,336 "," 6,568 "," 9,004 "
,E12000002,North West,E08000014,Sefton," 39,221 "," 13,122 "," 15,270 "," 15,529 "," 11,780 "," 17,985 "
,E12000002,North West,E07000031,South Lakeland," 12,827 "," 4,973 "," 6,645 "," 7,688 "," 5,773 "," 7,915 "
,E12000002,North West,E07000126,South Ribble," 14,048 "," 5,104 "," 5,773 "," 6,524 "," 4,622 "," 5,995 "
,E12000002,North West,E08000013,St. Helens," 30,635 "," 8,358 "," 9,269 "," 10,056 "," 7,295 "," 9,148 "
,E12000002,North West,E08000007,Stockport," 41,283 "," 11,728 "," 14,253 "," 15,095 "," 11,191 "," 16,356 "
,E12000002,North West,E08000008,Tameside," 30,278 "," 8,277 "," 9,925 "," 10,838 "," 7,425 "," 8,901 "
,E12000002,North West,E08000009,Trafford," 35,916 "," 8,788 "," 10,070 "," 10,307 "," 7,664 "," 11,471 "
,E12000002,North West,E06000007,Warrington," 29,607 "," 8,238 "," 9,868 "," 10,352 "," 7,944 "," 10,234 "
,E12000002,North West,E07000127,West Lancashire," 15,166 "," 5,686 "," 6,136 "," 6,797 "," 5,129 "," 6,532 "
,E12000002,North West,E08000010,Wigan," 43,001 "," 11,619 "," 14,797 "," 17,492 "," 13,018 "," 14,311 "
,E12000002,North West,E08000015,Wirral," 47,124 "," 14,288 "," 17,601 "," 18,277 "," 12,927 "," 18,435 "
,E12000002,North West,E07000128,Wyre," 17,389 "," 6,651 "," 7,021 "," 8,063 "," 6,119 "," 8,359 "
,E12000008,South East,E07000223,Adur," 8,697 "," 2,612 "," 3,199 "," 3,907 "," 2,995 "," 4,380 "
,E12000008,South East,E07000224,Arun," 19,990 "," 7,571 "," 9,390 "," 12,044 "," 9,410 "," 13,451 "
,E12000008,South East,E07000105,Ashford," 14,902 "," 5,009 "," 5,484 "," 6,981 "," 5,264 "," 6,522 "
,E12000008,South East,E07000084,Basingstoke and Deane," 20,851 "," 7,257 "," 8,007 "," 8,627 "," 6,144 "," 7,908 "
