,Region Code (Administrative),Region Name (administrative),LTLA Code,LTLA Name,Under 55,55-59,60-64,65-69,70-74,75-79,80+
,E12000006,East of England,E06000034,Thurrock," 13,737 "," 3,760 "," 4,838 "," 6,075 "," 6,479 "," 4,217 "," 5,652 "
,E12000006,East of England,E07000077,Uttlesford," 7,817 "," 2,786 "," 4,451 "," 4,436 "," 4,856 "," 3,621 "," 4,869 "
,E12000006,East of England,E07000103,Watford," 11,903 "," 2,696 "," 3,655 "," 3,247 "," 3,061 "," 2,327 "," 3,460 "
,E12000006,East of England,E07000241,Welwyn Hatfield," 11,198 "," 3,356 "," 5,294 "," 4,525 "," 4,466 "," 3,397 "," 5,532 "
,E12000006,East of England,E07000245,West Suffolk," 21,302 "," 6,879 "," 8,323 "," 8,612 "," 9,810 "," 7,522 "," 10,110 "
,E12000007,London,E09000002,Barking and Dagenham," 23,593 "," 5,649 "," 6,219 "," 5,009 "," 4,212 "," 2,903 "," 4,548 "
,E12000007,London,E09000003,Barnet," 50,070 "," 16,099 "," 16,099 "," 13,648 "," 13,097 "," 9,637 "," 14,563 "
,E12000007,London,E09000004,Bexley," 24,702 "," 10,074 "," 11,511 "," 9,853 "," 10,011 "," 7,458 "," 11,499 "
,E12000007,London,E09000005,Brent," 39,190 "," 11,862 "," 12,371 "," 10,265 "," 8,314 "," 6,070 "," 8,999 "
,E12000007,London,E09000006,Bromley," 35,335 "," 12,269 "," 15,156 "," 13,442 "," 14,708 "," 10,804 "," 16,538 "
,E12000007,London,E09000007,Camden," 25,345 "," 6,785 "," 7,491 "," 6,220 "," 5,959 "," 4,477 "," 5,811 "
,E12000007,London,E09000001,City of London, 653 , 237 , 325 , 314 , 301 , 198 , 245 
,E12000007,London,E09000008,Croydon," 38,975 "," 12,567 "," 14,843 "," 13,104 "," 12,422 "," 8,751 "," 12,818 "
,E12000007,London,E09000009,Ealing," 37,014 "," 13,288 "," 13,940 "," 11,766 "," 10,282 "," 7,275 "," 10,522 "
,E12000007,London,E09000010,Enfield," 41,869 "," 15,656 "," 13,962 "," 11,181 "," 10,022 "," 7,381 "," 11,470 "
,E12000007,London,E09000011,Greenwich," 32,650 "," 9,091 "," 9,545 "," 8,080 "," 7,336 "," 5,150 "," 6,642 "
,E12000007,London,E09000012,Hackney," 25,796 "," 6,051 "," 6,808 "," 5,829 "," 4,630 "," 2,967 "," 3,943 "
,E12000007,London,E09000013,Hammersmith and Fulham," 17,971 "," 5,790 "," 5,440 "," 4,671 "," 4,400 "," 3,103 "," 4,202 "
,E12000007,London,E09000014,Haringey," 26,265 "," 10,068 "," 8,701 "," 7,321 "," 6,265 "," 4,242 "," 5,840 "
,E12000007,London,E09000015,Harrow," 37,109 "," 11,087 "," 11,799 "," 10,456 "," 9,144 "," 6,879 "," 10,647 "
,E12000007,London,E09000016,Havering," 26,190 "," 7,489 "," 11,257 "," 10,484 "," 11,494 "," 8,331 "," 12,717 "
,E12000007,London,E09000017,Hillingdon," 37,991 "," 13,671 "," 12,613 "," 10,730 "," 9,773 "," 7,073 "," 11,069 "
,E12000007,London,E09000018,Hounslow," 32,879 "," 9,946 "," 10,900 "," 9,338 "," 8,177 "," 5,622 "," 7,693 "
,E12000007,London,E09000019,Islington," 21,547 "," 5,441 "," 6,477 "," 5,487 "," 4,887 "," 3,296 "," 4,322 "
,E12000007,London,E09000020,Kensington and Chelsea," 12,068 "," 5,578 "," 5,484 "," 4,715 "," 4,571 "," 3,522 "," 4,659 "
,E12000007,London,E09000021,Kingston upon Thames," 18,928 "," 6,007 "," 6,966 "," 6,257 "," 6,256 "," 4,363 "," 6,141 "
,E12000007,London,E09000022,Lambeth," 37,730 "," 10,192 "," 9,827 "," 7,382 "," 5,976 "," 3,972 "," 5,818 "
,E12000007,London,E09000023,Lewisham," 31,494 "," 9,641 "," 9,682 "," 7,397 "," 6,138 "," 4,419 "," 6,514 "
,E12000007,London,E09000024,Merton," 25,348 "," 8,004 "," 8,217 "," 7,062 "," 6,417 "," 4,368 "," 6,794 "
,E12000007,London,E09000025,Newham," 37,455 "," 7,991 "," 8,884 "," 7,367 "," 5,476 "," 3,466 "," 4,894 "
,E12000007,London,E09000026,Redbridge," 35,024 "," 9,055 "," 11,033 "," 9,941 "," 8,864 "," 6,176 "," 9,583 "
,E12000007,London,E09000027,Richmond upon Thames," 17,397 "," 6,754 "," 8,772 "," 7,769 "," 8,228 "," 5,889 "," 7,814 "
,E12000007,London,E09000028,Southwark," 32,668 "," 9,259 "," 9,099 "," 7,036 "," 5,825 "," 3,799 "," 5,417 "
,E12000007,London,E09000029,Sutton," 24,430 "," 7,933 "," 8,632 "," 7,853 "," 7,916 "," 5,631 "," 8,449 "
,E12000007,London,E09000030,Tower Hamlets," 30,526 "," 5,404 "," 6,375 "," 4,982 "," 3,821 "," 2,483 "," 3,875 "
,E12000007,London,E09000031,Waltham Forest," 26,668 "," 8,358 "," 8,585 "," 7,240 "," 6,319 "," 4,490 "," 6,400 "
,E12000007,London,E09000032,Wandsworth," 37,522 "," 10,422 "," 9,829 "," 7,903 "," 7,578 "," 5,147 "," 7,360 "
,E12000007,London,E09000033,Westminster," 19,823 "," 7,702 "," 7,110 "," 5,790 "," 5,289 "," 4,086 "," 5,516 "
,E12000001,North East,E06000047,County Durham," 59,864 "," 20,151 "," 24,995 "," 28,427 "," 29,864 "," 21,323 "," 27,384 "
,E12000001,North East,E06000005,Darlington," 9,174 "," 3,224 "," 4,340 "," 5,454 "," 5,734 "," 4,068 "," 5,818 "
,E12000001,North East,E08000037,Gateshead," 21,483 "," 6,420 "," 7,734 "," 9,538 "," 10,398 "," 7,205 "," 10,758 "
,E12000001,North East,E06000001,Hartlepool," 10,583 "," 3,475 "," 4,222 "," 4,628 "," 4,894 "," 3,182 "," 4,569 "
,E12000001,North East,E06000002,Middlesbrough," 16,350 "," 4,727 "," 5,438 "," 6,450 "," 6,064 "," 4,148 "," 5,916 "
,E12000001,North East,E08000021,Newcastle upon Tyne," 30,389 "," 7,423 "," 8,692 "," 11,423 "," 11,272 "," 7,553 "," 11,649 "
,E12000001,North East,E08000022,North Tyneside," 21,688 "," 6,412 "," 7,474 "," 11,252 "," 11,358 "," 7,662 "," 10,919 "
