,Region Code (Administrative),Region Name (administrative),LTLA Code,LTLA Name,Under 70,70-74,75-79,80+
,E12000006,East of England,E06000033,Southend-on-Sea," 24,174 "," 8,608 "," 6,452 "," 9,293 "
,E12000006,East of England,E07000240,St Albans," 16,820 "," 6,262 "," 4,732 "," 7,405 "
,E12000006,East of England,E07000243,Stevenage," 11,272 "," 3,237 "," 2,417 "," 3,700 "
,E12000006,East of England,E07000076,Tendring," 25,692 "," 11,334 "," 8,819 "," 11,617 "
,E12000006,East of England,E07000102,Three Rivers," 13,996 "," 4,252 "," 3,151 "," 4,751 "
,E12000006,East of England,E06000034,Thurrock," 17,810 "," 6,348 "," 4,164 "," 5,613 "
,E12000006,East of England,E07000077,Uttlesford," 9,261 "," 4,793 "," 3,578 "," 4,837 "
,E12000006,East of England,E07000103,Watford," 13,201 "," 3,013 "," 2,288 "," 3,451 "
,E12000006,East of England,E07000241,Welwyn Hatfield," 12,402 "," 4,374 "," 3,361 "," 5,514 "
,E12000006,East of England,E07000245,West Suffolk," 27,087 "," 9,645 "," 7,430 "," 10,039 "
,E12000007,London,E09000002,Barking and Dagenham," 23,286 "," 4,059 "," 2,805 "," 4,478 "
,E12000007,London,E09000003,Barnet," 58,281 "," 12,806 "," 9,464 "," 14,383 "
,E12000007,London,E09000004,Bexley," 33,956 "," 9,800 "," 7,332 "," 11,422 "
,E12000007,London,E09000005,Brent," 47,185 "," 7,961 "," 5,888 "," 8,798 "
,E12000007,London,E09000006,Bromley," 51,223 "," 14,478 "," 10,654 "," 16,405 "
,E12000007,London,E09000007,Camden," 26,291 "," 5,761 "," 4,357 "," 5,691 "
,E12000007,London,E09000001,City of London, 846 , 295 , 194 , 241 
,E12000007,London,E09000008,Croydon," 44,715 "," 11,998 "," 8,527 "," 12,493 "
,E12000007,London,E09000009,Ealing," 48,261 "," 10,005 "," 7,093 "," 10,341 "
,E12000007,London,E09000010,Enfield," 55,101 "," 9,770 "," 7,214 "," 11,250 "
,E12000007,London,E09000011,Greenwich," 35,315 "," 7,104 "," 5,009 "," 6,576 "
,E12000007,London,E09000012,Hackney," 23,108 "," 4,411 "," 2,864 "," 3,808 "
,E12000007,London,E09000013,Hammersmith and Fulham," 20,286 "," 4,235 "," 3,001 "," 4,114 "
,E12000007,London,E09000014,Haringey," 30,234 "," 6,043 "," 4,121 "," 5,602 "
,E12000007,London,E09000015,Harrow," 46,795 "," 8,975 "," 6,764 "," 10,575 "
,E12000007,London,E09000016,Havering," 30,587 "," 11,253 "," 8,226 "," 12,589 "
,E12000007,London,E09000017,Hillingdon," 45,529 "," 9,540 "," 6,949 "," 10,966 "
,E12000007,London,E09000018,Hounslow," 40,529 "," 7,907 "," 5,432 "," 7,584 "
,E12000007,London,E09000019,Islington," 22,461 "," 4,731 "," 3,186 "," 4,176 "
,E12000007,London,E09000020,Kensington and Chelsea," 15,763 "," 4,417 "," 3,443 "," 4,590 "
,E12000007,London,E09000021,Kingston upon Thames," 22,236 "," 6,134 "," 4,306 "," 6,121 "
,E12000007,London,E09000022,Lambeth," 37,111 "," 5,700 "," 3,821 "," 5,574 "
,E12000007,London,E09000023,Lewisham," 32,251 "," 5,938 "," 4,319 "," 6,343 "
,E12000007,London,E09000024,Merton," 32,517 "," 6,240 "," 4,260 "," 6,657 "
,E12000007,London,E09000025,Newham," 30,478 "," 5,172 "," 3,319 "," 4,697 "
,E12000007,London,E09000026,Redbridge," 34,081 "," 8,563 "," 6,041 "," 9,432 "
,E12000007,London,E09000027,Richmond upon Thames," 23,093 "," 7,986 "," 5,716 "," 7,758 "
,E12000007,London,E09000028,Southwark," 33,512 "," 5,530 "," 3,606 "," 5,099 "
,E12000007,London,E09000029,Sutton," 28,463 "," 7,740 "," 5,552 "," 8,364 "
,E12000007,London,E09000030,Tower Hamlets," 24,814 "," 3,679 "," 2,397 "," 3,766 "
,E12000007,London,E09000031,Waltham Forest," 29,911 "," 6,109 "," 4,380 "," 6,282 "
,E12000007,London,E09000032,Wandsworth," 39,814 "," 7,332 "," 5,022 "," 7,213 "
,E12000007,London,E09000033,Westminster," 23,638 "," 5,026 "," 3,951 "," 5,368 "
,E12000001,North East,E06000047,County Durham," 77,783 "," 29,328 "," 21,175 "," 27,388 "
,E12000001,North East,E06000005,Darlington," 13,789 "," 5,642 "," 4,046 "," 5,837 "
,E12000001,North East,E08000037,Gateshead," 26,498 "," 10,267 "," 7,151 "," 10,710 "
,E12000001,North East,E06000001,Hartlepool," 12,337 "," 4,630 "," 3,140 "," 4,570 "
,E12000001,North East,E06000002,Middlesbrough," 21,609 "," 5,870 "," 4,079 "," 5,834 "
,E12000001,North East,E08000021,Newcastle upon Tyne," 38,901 "," 11,044 "," 7,464 "," 11,564 "
,E12000001,North East,E08000022,North Tyneside," 30,322 "," 11,120 "," 7,600 "," 10,919 "
,E12000001,North East,E06000057,Northumberland," 45,904 "," 21,826 "," 15,392 "," 19,709 "
,E12000001,North East,E06000003,Redcar and Cleveland," 18,155 "," 8,148 "," 6,091 "," 7,986 "
,E12000001,North East,E08000023,South Tyneside," 26,089 "," 7,983 "," 5,365 "," 7,834 "
,E12000001,North East,E06000004,Stockton-on-Tees," 28,548 "," 9,750 "," 6,660 "," 8,983 "
,E12000001,North East,E08000024,Sunderland," 40,950 "," 14,806 "," 10,003 "," 14,125 "
,E12000002,North West,E07000026,Allerdale," 12,164 "," 6,453 "," 4,461 "," 6,212 "
,E12000002,North West,E07000027,Barrow-in-Furness," 10,749 "," 3,906 "," 2,905 "," 3,595 "
,E12000002,North West,E06000008,Blackburn with Darwen," 19,037 "," 5,665 "," 3,822 "," 5,136 "
,E12000002,North West,E06000009,Blackpool," 25,768 "," 7,316 "," 5,523 "," 7,474 "
,E12000002,North West,E08000001,Bolton," 42,679 "," 13,192 "," 9,561 "," 11,939 "
,E12000002,North West,E07000117,Burnley," 11,007 "," 4,357 "," 3,092 "," 3,759 "
,E12000002,North West,E08000002,Bury," 34,308 "," 9,399 "," 6,687 "," 8,616 "
,E12000002,North West,E07000028,Carlisle," 13,901 "," 5,971 "," 4,295 "," 6,130 "
,E12000002,North West,E06000049,Cheshire East," 54,710 "," 23,226 "," 17,485 "," 23,742 "
,E12000002,North West,E06000050,Cheshire West and Chester," 45,923 "," 19,537 "," 14,465 "," 19,660 "
,E12000002,North West,E07000118,Chorley," 17,271 "," 6,543 "," 4,743 "," 5,559 "
,E12000002,North West,E07000029,Copeland," 8,776 "," 4,104 "," 2,935 "," 3,777 "
,E12000002,North West,E07000030,Eden," 5,068 "," 3,740 "," 2,710 "," 3,689 "
,E12000002,North West,E07000119,Fylde," 12,683 "," 5,740 "," 4,515 "," 6,252 "
,E12000002,North West,E06000006,Halton," 19,876 "," 6,674 "," 4,115 "," 5,079 "
,E12000002,North West,E07000120,Hyndburn," 9,607 "," 3,925 "," 2,852 "," 3,462 "
,E12000002,North West,E08000011,Knowsley," 26,359 "," 6,440 "," 4,173 "," 6,257 "
,E12000002,North West,E07000121,Lancaster," 23,667 "," 7,633 "," 5,590 "," 7,693 "
,E12000002,North West,E08000012,Liverpool," 77,810 "," 18,420 "," 12,293 "," 17,478 "
,E12000002,North West,E08000003,Manchester," 68,983 "," 12,301 "," 8,302 "," 11,290 "
,E12000002,North West,E08000004,Oldham," 30,609 "," 9,770 "," 7,121 "," 8,924 "
,E12000002,North West,E07000122,Pendle," 9,309 "," 4,475 "," 3,057 "," 3,947 "
,E12000002,North West,E07000123,Preston," 20,250 "," 5,295 "," 3,818 "," 5,627 "
,E12000002,North West,E07000124,Ribble Valley," 9,021 "," 3,886 "," 2,962 "," 3,901 "
,E12000002,North West,E08000005,Rochdale," 35,532 "," 9,500 "," 6,474 "," 8,040 "
,E12000002,North West,E07000125,Rossendale," 8,987 "," 3,710 "," 2,490 "," 2,999 "
,E12000002,North West,E08000006,Salford," 36,897 "," 9,194 "," 6,438 "," 8,882 "
,E12000002,North West,E08000014,Sefton," 45,954 "," 15,212 "," 11,658 "," 17,821 "
,E12000002,North West,E07000031,South Lakeland," 15,638 "," 7,632 "," 5,751 "," 7,932 "
,E12000002,North West,E07000126,South Ribble," 15,240 "," 6,454 "," 4,598 "," 5,999 "
,E12000002,North West,E08000013,St. Helens," 30,105 "," 9,930 "," 7,226 "," 9,080 "
,E12000002,North West,E08000007,Stockport," 46,656 "," 14,934 "," 11,134 "," 16,357 "
,E12000002,North West,E08000008,Tameside," 35,227 "," 10,686 "," 7,351 "," 8,756 "
,E12000002,North West,E08000009,Trafford," 36,226 "," 10,165 "," 7,616 "," 11,435 "
,E12000002,North West,E06000007,Warrington," 31,604 "," 10,241 "," 7,889 "," 10,201 "
,E12000002,North West,E07000127,West Lancashire," 18,866 "," 6,730 "," 5,092 "," 6,508 "
,E12000002,North West,E08000010,Wigan," 44,548 "," 17,266 "," 12,920 "," 14,183 "
,E12000002,North West,E08000015,Wirral," 58,193 "," 18,093 "," 12,869 "," 18,434 "
,E12000002,North West,E07000128,Wyre," 22,205 "," 7,997 "," 6,091 "," 8,358 "
,E12000008,South East,E07000223,Adur," 9,236 "," 3,849 "," 2,969 "," 4,364 "
,E12000008,South East,E07000224,Arun," 22,961 "," 11,801 "," 9,327 "," 13,427 "
,E12000008,South East,E07000105,Ashford," 17,010 "," 6,876 "," 5,226 "," 6,503 "
,E12000008,South East,E07000084,Basingstoke and Deane," 23,393 "," 8,527 "," 6,093 "," 7,909 "
,E12000008,South East,E06000036,Bracknell Forest," 15,057 "," 4,705 "," 3,385 "," 4,584 "
,E12000008,South East,E06000043,Brighton and Hove," 36,000 "," 9,409 "," 6,696 "," 9,893 "
,E12000008,South East,E06000060,Buckinghamshire," 68,566 "," 25,615 "," 19,697 "," 28,091 "
,E12000008,South East,E07000106,Canterbury," 22,109 "," 8,985 "," 6,687 "," 9,162 "
,E12000008,South East,E07000177,Cherwell," 17,923 "," 7,229 "," 5,216 "," 7,418 "
,E12000008,South East,E07000225,Chichester," 20,659 "," 8,319 "," 6,673 "," 9,604 "
,E12000008,South East,E07000226,Crawley," 14,870 "," 3,912 "," 2,524 "," 4,055 "
,E12000008,South East,E07000107,Dartford," 15,056 "," 3,956 "," 2,820 "," 4,218 "
,E12000008,South East,E07000108,Dover," 19,569 "," 7,082 "," 5,318 "," 6,625 "
,E12000008,South East,E07000085,East Hampshire," 16,025 "," 7,346 "," 5,694 "," 7,927 "
,E12000008,South East,E07000061,Eastbourne," 19,468 "," 6,091 "," 4,607 "," 7,236 "
,E12000008,South East,E07000086,Eastleigh," 17,942 "," 6,722 "," 4,935 "," 7,186 "
,E12000008,South East,E07000207,Elmbridge," 17,360 "," 5,966 "," 4,560 "," 7,269 "
,E12000008,South East,E07000208,Epsom and Ewell," 11,627 "," 3,755 "," 2,774 "," 3,998 "
,E12000008,South East,E07000087,Fareham," 15,528 "," 7,095 "," 5,594 "," 8,059 "
,E12000008,South East,E07000112,Folkestone and Hythe," 18,723 "," 7,292 "," 5,231 "," 6,886 "
,E12000008,South East,E07000088,Gosport," 11,694 "," 4,622 "," 3,352 "," 4,629 "
,E12000008,South East,E07000109,Gravesham," 16,465 "," 4,605 "," 3,445 "," 4,936 "
,E12000008,South East,E07000209,Guildford," 18,164 "," 6,309 "," 4,680 "," 7,078 "
,E12000008,South East,E07000089,Hart," 10,969 "," 5,059 "," 4,004 "," 5,465 "
,E12000008,South East,E07000062,Hastings," 13,501 "," 4,605 "," 3,209 "," 4,170 "
,E12000008,South East,E07000090,Havant," 18,611 "," 7,553 "," 5,885 "," 8,516 "
,E12000008,South East,E07000227,Horsham," 21,822 "," 8,535 "," 6,519 "," 9,279 "
,E12000008,South East,E06000046,Isle of Wight," 26,674 "," 10,602 "," 8,329 "," 10,283 "
,E12000008,South East,E07000063,Lewes," 16,109 "," 6,539 "," 5,026 "," 7,353 "
,E12000008,South East,E07000110,Maidstone," 25,628 "," 8,698 "," 6,415 "," 8,719 "
,E12000008,South East,E06000035,Medway," 32,373 "," 11,907 "," 8,453 "," 10,546 "
,E12000008,South East,E07000228,Mid Sussex," 19,867 "," 7,830 "," 6,203 "," 8,764 "
,E12000008,South East,E06000042,Milton Keynes," 29,338 "," 10,546 "," 6,887 "," 8,554 "
,E12000008,South East,E07000210,Mole Valley," 13,029 "," 4,923 "," 4,026 "," 6,074 "
,E12000008,South East,E07000091,New Forest," 25,044 "," 12,998 "," 10,101 "," 15,193 "
,E12000008,South East,E07000178,Oxford," 19,511 "," 4,480 "," 3,379 "," 5,065 "
,E12000008,South East,E06000044,Portsmouth," 29,169 "," 7,622 "," 5,684 "," 8,098 "
,E12000008,South East,E06000038,Reading," 16,653 "," 4,888 "," 3,743 "," 5,581 "
,E12000008,South East,E07000211,Reigate and Banstead," 19,900 "," 6,726 "," 4,895 "," 7,522 "
,E12000008,South East,E07000064,Rother," 14,728 "," 7,845 "," 6,016 "," 8,499 "
,E12000008,South East,E07000212,Runnymede," 12,327 "," 3,615 "," 2,835 "," 4,390 "
,E12000008,South East,E07000092,Rushmoor," 13,005 "," 3,978 "," 2,929 "," 3,723 "
,E12000008,South East,E07000111,Sevenoaks," 15,219 "," 6,512 "," 4,986 "," 7,150 "
,E12000008,South East,E06000039,Slough," 16,293 "," 3,382 "," 2,244 "," 3,565 "
,E12000008,South East,E07000179,South Oxfordshire," 16,870 "," 7,576 "," 6,162 "," 8,514 "
,E12000008,South East,E06000045,Southampton," 33,005 "," 8,382 "," 6,313 "," 8,657 "
,E12000008,South East,E07000213,Spelthorne," 13,130 "," 4,390 "," 3,497 "," 5,357 "
,E12000008,South East,E07000214,Surrey Heath," 12,116 "," 4,386 "," 3,478 "," 5,068 "
,E12000008,South East,E07000113,Swale," 18,745 "," 7,682 "," 5,590 "," 6,625 "
,E12000008,South East,E07000215,Tandridge," 11,839 "," 4,519 "," 3,536 "," 5,141 "
,E12000008,South East,E07000093,Test Valley," 15,381 "," 7,227 "," 5,470 "," 7,372 "
,E12000008,South East,E07000114,Thanet," 19,289 "," 8,575 "," 6,423 "," 8,340 "
,E12000008,South East,E07000115,Tonbridge and Malling," 15,357 "," 6,521 "," 4,978 "," 6,799 "
,E12000008,South East,E07000116,Tunbridge Wells," 15,981 "," 5,585 "," 4,327 "," 6,355 "
,E12000008,South East,E07000180,Vale of White Horse," 15,089 "," 7,012 "," 5,332 "," 7,684 "
,E12000008,South East,E07000216,Waverley," 16,521 "," 6,790 "," 5,514 "," 8,547 "
,E12000008,South East,E07000065,Wealden," 24,319 "," 10,873 "," 8,512 "," 11,331 "
,E12000008,South East,E06000037,West Berkshire," 17,382 "," 8,253 "," 6,139 "," 7,931 "
,E12000008,South East,E07000181,West Oxfordshire," 13,655 "," 6,174 "," 4,867 "," 6,918 "
,E12000008,South East,E07000094,Winchester," 17,636 "," 6,639 "," 5,171 "," 7,654 "
,E12000008,South East,E06000040,Windsor and Maidenhead," 17,216 "," 6,856 "," 5,296 "," 7,910 "
,E12000008,South East,E07000217,Woking," 13,343 "," 4,165 "," 3,108 "," 4,779 "
,E12000008,South East,E06000041,Wokingham," 18,323 "," 7,740 "," 5,941 "," 8,380 "
,E12000008,South East,E07000229,Worthing," 17,416 "," 6,195 "," 4,623 "," 7,324 "
,E12000009,South West,E06000022,Bath and North East Somerset," 24,250 "," 9,448 "," 7,194 "," 10,565 "
,E12000009,South West,E06000058,"Bournemouth, Christchurch and Poole"," 62,596 "," 21,256 "," 16,293 "," 25,211 "
,E12000009,South West,E06000023,"Bristol, City of"," 58,769 "," 15,082 "," 10,889 "," 16,036 "
,E12000009,South West,E07000078,Cheltenham," 18,266 "," 5,576 "," 4,361 "," 6,916 "
,E12000009,South West,E06000052,Cornwall," 83,309 "," 38,259 "," 28,395 "," 35,702 "
,E12000009,South West,E07000079,Cotswold," 9,901 "," 6,017 "," 4,718 "," 6,416 "
,E12000009,South West,E06000059,Dorset," 58,208 "," 28,771 "," 22,231 "," 31,299 "
,E12000009,South West,E07000040,East Devon," 23,422 "," 11,378 "," 9,117 "," 13,266 "
,E12000009,South West,E07000041,Exeter," 17,916 "," 5,401 "," 4,066 "," 6,162 "
,E12000009,South West,E07000080,Forest of Dean," 10,542 "," 5,198 "," 3,899 "," 4,855 "
,E12000009,South West,E07000081,Gloucester," 22,038 "," 5,457 "," 4,300 "," 5,815 "
,E12000009,South West,E06000053,Isles of Scilly, 453 , 140 , 125 , 166 
,E12000009,South West,E07000187,Mendip," 19,037 "," 7,271 "," 5,319 "," 7,244 "
,E12000009,South West,E07000042,Mid Devon," 10,077 "," 5,173 "," 3,916 "," 5,175 "
,E12000009,South West,E07000043,North Devon," 14,487 "," 6,521 "," 5,141 "," 6,764 "
,E12000009,South West,E06000024,North Somerset," 32,127 "," 13,384 "," 10,489 "," 14,475 "
,E12000009,South West,E06000026,Plymouth," 37,030 "," 12,427 "," 9,387 "," 12,698 "
,E12000009,South West,E07000188,Sedgemoor," 17,898 "," 7,868 "," 5,867 "," 7,730 "
,E12000009,South West,E07000246,Somerset West and Taunton," 27,811 "," 10,125 "," 7,908 "," 11,252 "
,E12000009,South West,E06000025,South Gloucestershire," 38,267 "," 13,622 "," 11,104 "," 15,202 "
,E12000009,South West,E07000044,South Hams," 12,894 "," 6,599 "," 4,840 "," 6,294 "
,E12000009,South West,E07000189,South Somerset," 27,751 "," 11,613 "," 8,712 "," 11,532 "
,E12000009,South West,E07000082,Stroud," 16,725 "," 7,466 "," 5,442 "," 7,416 "
,E12000009,South West,E06000030,Swindon," 28,199 "," 9,331 "," 6,721 "," 9,424 "
,E12000009,South West,E07000045,Teignbridge," 21,306 "," 9,454 "," 7,305 "," 9,572 "
,E12000009,South West,E07000083,Tewkesbury," 15,043 "," 5,495 "," 4,272 "," 5,751 "
,E12000009,South West,E06000027,Torbay," 22,289 "," 9,114 "," 7,099 "," 9,845 "
,E12000009,South West,E07000046,Torridge," 9,564 "," 5,146 "," 3,858 "," 4,765 "
,E12000009,South West,E07000047,West Devon," 10,168 "," 4,236 "," 3,250 "," 4,203 "
,E12000009,South West,E06000054,Wiltshire," 65,003 "," 28,733 "," 21,781 "," 29,870 "
,E12000005,West Midlands,E08000025,Birmingham," 134,006 "," 33,714 "," 25,700 "," 37,963 "
,E12000005,West Midlands,E07000234,Bromsgrove," 15,288 "," 5,576 "," 4,496 "," 6,369 "
,E12000005,West Midlands,E07000192,Cannock Chase," 14,316 "," 5,120 "," 3,905 "," 4,701 "
,E12000005,West Midlands,E08000026,Coventry," 45,263 "," 11,894 "," 9,505 "," 13,558 "
,E12000005,West Midlands,E08000027,Dudley," 41,746 "," 16,009 "," 13,208 "," 17,546 "
,E12000005,West Midlands,E07000193,East Staffordshire," 18,563 "," 5,930 "," 4,540 "," 5,873 "
,E12000005,West Midlands,E06000019,"Herefordshire, County of"," 29,396 "," 12,188 "," 9,292 "," 12,787 "
,E12000005,West Midlands,E07000194,Lichfield," 14,193 "," 6,600 "," 5,596 "," 6,367 "
,E12000005,West Midlands,E07000235,Malvern Hills," 14,249 "," 5,743 "," 4,345 "," 6,133 "
,E12000005,West Midlands,E07000195,Newcastle-under-Lyme," 18,537 "," 6,988 "," 5,178 "," 7,123 "
,E12000005,West Midlands,E07000218,North Warwickshire," 9,751 "," 3,821 "," 2,872 "," 3,464 "
,E12000005,West Midlands,E07000219,Nuneaton and Bedworth," 18,915 "," 6,529 "," 4,970 "," 5,952 "
,E12000005,West Midlands,E07000236,Redditch," 11,163 "," 4,465 "," 3,024 "," 3,353 "
,E12000005,West Midlands,E07000220,Rugby," 15,875 "," 5,172 "," 4,334 "," 5,599 "
,E12000005,West Midlands,E08000028,Sandwell," 40,835 "," 11,519 "," 8,968 "," 12,282 "
,E12000005,West Midlands,E06000051,Shropshire," 50,509 "," 20,347 "," 16,118 "," 21,028 "
,E12000005,West Midlands,E08000029,Solihull," 30,453 "," 11,539 "," 9,088 "," 12,727 "
,E12000005,West Midlands,E07000196,South Staffordshire," 17,323 "," 7,066 "," 5,820 "," 7,366 "
,E12000005,West Midlands,E07000197,Stafford," 23,356 "," 8,001 "," 6,462 "," 8,192 "
