MSOA11CD,STP21CD
E02000790,E54000031
E02000791,E54000031
E02000792,E54000031
E02000793,E54000031
E02000794,E54000031
E02000795,E54000031
E02000796,E54000031
E02000797,E54000031
E02000798,E54000031
E02000799,E54000031
E02000800,E54000031
E02000801,E54000031
E02000802,E54000031
E02000803,E54000031
E02000804,E54000031
E02000805,E54000031
E02000806,E54000031
E02000807,E54000030
E02000808,E54000030
E02000809,E54000030
E02000810,E54000030
E02000812,E54000030
E02000813,E54000030
E02000814,E54000030
E02000815,E54000030
E02000816,E54000030
E02000817,E54000030
E02000818,E54000030
E02000819,E54000030
E02000820,E54000030
E02000821,E54000030
E02000822,E54000030
E02000823,E54000030
E02000824,E54000030
E02000825,E54000030
E02000826,E54000030
E02000827,E54000030
E02000828,E54000030
E02000829,E54000030
E02000830,E54000030
E02000831,E54000030
E02000832,E54000030
E02000833,E54000030
E02000834,E54000030
E02000835,E54000030
E02000836,E54000030
E02000837,E54000030
E02000838,E54000030
E02000839,E54000030
E02000840,E54000031
E02000841,E54000031
E02000842,E54000031
E02000843,E54000031
E02000844,E54000031
E02000845,E54000031
E02000846,E54000031
E02000847,E54000031
E02000848,E54000031
E02000849,E54000031
E02000850,E54000031
E02000851,E54000031
E02000852,E54000031
E02000853,E54000031
E02000854,E54000031
E02000855,E54000031
E02000856,E54000031
E02000857,E54000031
E02000858,E54000031
E02000859,E54000031
E02000860,E54000031
E02000861,E54000031
E02000863,E54000031
E02000864,E54000029
E02000865,E54000029
E02000866,E54000029
E02000867,E54000029
E02000868,E54000029
E02000869,E54000029
E02000870,E54000029
E02000871,E54000029
E02000872,E54000029
E02000873,E54000029
E02000874,E54000029
E02000875,E54000029
E02000876,E54000029
E02000877,E54000029
E02000878,E54000029
E02000879,E54000029
E02000880,E54000029
E02000881,E54000029
E02000882,E54000029
E02000883,E54000029
E02000884,E54000029
E02000885,E54000029
E02000886,E54000029
E02000887,E54000029
E02000888,E54000029
E02000889,E54000029
E02000890,E54000029
E02000891,E54000029
E02000893,E54000029
E02000894,E54000029
E02000895,E54000029
E02000896,E54000029
E02000897,E54000029
E02000898,E54000029
E02000899,E54000029
E02000900,E54000029
E02000901,E54000029
E02000902,E54000029
E02000903,E54000029
E02000904,E54000029
E02000905,E54000029
E02000906,E54000029
E02000907,E54000029
E02000908,E54000029
E02000909,E54000029
E02000910,E54000029
E02000911,E54000029
E02000912,E54000029
E02000913,E54000029
E02000914,E54000029
E02000915,E54000029
E02000916,E54000029
E02000917,E54000029
E02000918,E54000029
E02000919,E54000029
E02000920,E54000029
E02000921,E54000029
E02000922,E54000029
E02000923,E54000031
E02000924,E54000031
E02000925,E54000031
E02000926,E54000031
E02000927,E54000031
