Week number		1 	2 	3 	4 	5 	6 	7 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	30 	31 	32 	33 	34 	35 	36 	37 	38 	39 	40 	41 	42 	43 	44 	45 	46 	47 	48 	49 	50 	51 	52 	53 
	65-69	0	0	0	0	0	0	0	0	0	0	0	7	30	153	279	370	307	209	111	111	66	33	50	25	24	24	18	12	9 	8 	9 	9 	3 	5 	5 	3 	6 	5	8 	12 	23 	25 	41 	65	73 	95 	120 	113 	99 	108 	106 	101 	109 
	70-74	0	0	0	0	0	0	0	0	0	0	0	6	38	266	446	591	470	327	189	194	138	90	75	58	45	29	19	23	13 	8 	9 	6 	12 	5 	4 	3 	7 	8	16 	25 	33 	50 	72 	97	117 	175 	175 	199 	189 	154 	162 	164 	183 
	75-79	0	0	0	0	0	0	0	0	0	0	0	6	63	352	641	732	657	438	276	301	174	122	118	79	60	46	44	33	25 	16 	16 	13 	9 	16 	8 	12 	9 	17	12 	33 	47 	67 	99 	144	170 	218 	263 	283 	234 	238 	237 	252 	252 
	80-84	0	0	0	0	0	0	0	0	0	0	1	13	55	441	772	985	882	579	433	375	246	197	167	125	85	72	66	40	41 	21 	27 	14 	14 	13 	15 	6 	9 	12	29 	32 	55 	82 	110 	141	255 	279 	318 	327 	292 	305 	309 	336 	305 
	85-89	0	0	0	0	0	0	0	0	0	0	0	16	59	354	668	958	896	638	380	396	285	201	150	121	64	72	53	34	29 	22 	16 	11 	16 	13 	9 	8 	8 	16	23 	35 	43 	69 	110 	152	198 	255 	284 	352 	324 	279 	320 	331 	365 
	90+	0	0	0	0	0	0	0	0	0	0	0	11	42	272	484	720	725	584	369	374	231	172	147	103	65	59	46	36	26 	19 	14 	15 	10 	5 	11 	7 	10 	7	24 	33 	22 	59 	71 	110	160 	192 	235 	262 	253 	267 	323 	285 	296 
Female
	<1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0 	0 	0 	0 	0 	0 	0 	0 	0 	0	0 	0 	0 	0 	0 	0	0 	0 	0 	0 	0 	0 	0 	0 	0 
	1-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0 	0 	0 	0 	0 	0 	0 	0 	0 	0	0 	0 	0 	0 	0 	0	0 	0 	0 	0 	0 	0 	0 	0 	0 
	5-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0 	0 	1 	0 	0 	0 	0 	0 	0 	0	0 	0 	0 	0 	0 	0	0 	0 	0 	0 	0 	0 	0 	0 	0 
	10-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0 	0 	0 	0 	0 	0 	0 	0 	0 	0	0 	0 	0 	0 	0 	0	0 	0 	0 	0 	0 	0 	0 	0 	0 
	15-19	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0 	0 	0 	0 	0 	0 	0 	0 	0 	0	0 	0 	0 	0 	0 	0	0 	0 	0 	0 	0 	1 	0 	0 	0 
	20-24	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	2	0	2	0	0	0	0	0	1	0	0	0	0 	0 	0 	0 	0 	0 	0 	0 	0 	0	0 	0 	0 	0 	0 	0	0 	2 	0 	1 	1 	0 	1 	0 	0 
	25-29	0	0	0	0	0	0	0	0	0	0	0	0	1	3	3	3	4	1	0	1	0	0	1	0	0	0	0	0	0 	0 	0 	0 	0 	0 	0 	0 	0 	0	0 	0 	0 	0 	0 	0	1 	1 	1 	1 	1 	1 	0 	1 	2 
	30-34	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	6	8	1	5	2	1	0	2	0	1	0	1	0	0 	1 	0 	0 	1 	0 	0 	0 	0 	0	0 	0 	0 	1 	1 	1	0 	2 	1 	3 	1 	1 	1 	1 	1 
	35-39	0	0	0	0	0	0	0	0	0	0	0	0	1	5	6	12	10	8	5	2	0	1	2	1	0	0	1	1	0 	0 	1 	0 	0 	0 	1 	0 	1 	0	1 	0 	0 	1 	1 	3	0 	2 	3 	3 	2 	3 	2 	3 	3 
	40-44	0	0	0	0	0	0	0	0	0	0	0	1	0	4	13	18	15	7	8	7	8	1	2	4	1	1	2	0	0 	0 	0 	0 	0 	1 	1 	0 	0 	1	0 	0 	1 	3 	1 	3	2 	6 	5 	4 	7 	2 	4 	6 	7 
	45-49	0	0	0	0	0	0	0	0	0	0	0	0	4	24	29	22	25	23	7	12	7	5	7	2	4	2	4	0	1 	1 	2 	1 	1 	1 	0 	0 	1 	1	1 	2 	2 	0 	3 	2	8 	8 	7 	6 	6 	10 	13 	6 	8 
	50-54	0	0	0	0	0	0	0	0	0	0	0	0	4	21	50	79	44	32	25	15	7	6	11	4	3	4	1	3	2 	2 	0 	1 	0 	2 	0 	2 	0 	1	2 	1 	3 	3 	4 	7	18 	12 	10 	15 	15 	13 	15 	20 	21 
	55-59	0	0	0	0	0	0	0	0	0	0	0	1	4	51	73	84	78	52	28	25	21	16	20	9	6	4	2	1	2 	3 	2 	1 	1 	1 	0 	1 	1 	0	3 	5 	3 	3 	9 	11	19 	22 	23 	29 	24 	20 	38 	24 	35 
	60-64	0	0	0	0	0	0	0	0	0	0	0	2	11	51	108	141	123	61	44	43	33	21	17	14	14	10	0	4	5 	3 	3 	4 	2 	1 	2 	2 	2 	3	3 	7 	3 	10 	13 	12	24 	40 	29 	36 	35 	39 	48 	47 	35 
	65-69	0	0	0	0	0	0	0	0	0	0	0	4	12	71	148	183	151	101	68	70	37	33	34	20	14	8	10	10	5 	5 	7 	3 	7 	2 	3 	3 	4 	1	5 	10 	11 	14 	21 	34	34 	54 	43 	45 	71 	46 	71 	59 	75 
	70-74	0	0	0	0	0	0	0	0	0	0	1	3	19	136	231	298	261	168	118	110	61	67	54	34	20	24	25	14	14 	19 	5 	9 	3 	4 	1 	2 	3 	8	4 	14 	15 	24 	38 	41	77 	91 	98 	107 	99 	104 	90 	111 	118 
	75-79	0	0	0	0	0	0	0	0	0	0	2	5	21	197	332	465	383	332	188	168	142	88	80	60	35	34	27	18	13 	13 	13 	9 	7 	3 	5 	1 	6 	4	15 	15 	23 	41 	58 	80	115 	125 	152 	166 	180 	162 	151 	145 	155 
	80-84	0	0	0	0	0	0	0	0	0	0	0	7	42	241	465	652	693	517	339	311	211	184	130	99	78	48	47	23	17 	12 	12 	11 	9 	21 	6 	9 	4 	9	11 	30 	38 	57 	77 	118	166 	194 	221 	242 	217 	187 	235 	247 	256 
	85-89	0	0	0	0	0	0	0	0	0	0	0	8	43	263	423	781	813	668	455	472	308	209	187	122	100	50	61	31	25 	26 	17 	16 	13 	22 	8 	3 	15 	16	15 	22 	37 	52 	78 	129	160 	271 	240 	287 	274 	291 	289 	274 	340 
	90+	0	0	0	0	0	0	0	0	0	0	0	10	44	274	508	954	1,073	910	646	628	462	296	257	174	114	82	69	59	47 	18 	23 	19 	26 	10 	8 	9 	5 	19	24 	30 	45 	73 	107 	149	225 	283 	319 	394 	346 	344 	413 	354 	398 
